,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
95,1950-04-06,30.136,22,56,56,18,48,48,32,22,39,27,15,32,48,32,39,39,56,11,67,32,32,39,22,18,15,39,39
96,1950-04-07,18.105,39,27,15,32,48,32,39,39,56,11,67,32,32,39,22,18,15,39,39,27,27,15,18,22,12,15,7
97,1950-04-08,8.042,56,11,67,32,32,39,22,18,15,39,39,27,27,15,18,22,12,15,7,15,6,12,6,9,7,5,3
98,1950-04-09,9.052,15,39,39,27,27,15,18,22,12,15,7,15,6,12,6,9,7,5,3,3,5,9,12,18,18,5,4
99,1950-04-10,9.052,12,15,7,15,6,12,6,9,7,5,3,3,5,9,12,18,18,5,4,12,27,5,4,7,6,6,7
100,1950-04-11,7.042,7,5,3,3,5,9,12,18,18,5,4,12,27,5,4,7,6,6,7,5,12,5,5,5,5,12,9
101,1950-04-12,20.105,18,5,4,12,27,5,4,7,6,6,7,5,12,5,5,5,5,12,9,12,27,48,32,18,7,5,9
102,1950-04-13,11.063,6,6,7,5,12,5,5,5,5,12,9,12,27,48,32,18,7,5,9,32,18,7,9,9,5,3,3
103,1950-04-14,5.021,5,12,9,12,27,48,32,18,7,5,9,32,18,7,9,9,5,3,3,3,5,7,5,6,3,5,9
104,1950-04-15,19.105,7,5,9,32,18,7,9,9,5,3,3,3,5,7,5,6,3,5,9,6,22,48,18,32,9,5,12
105,1950-04-16,10.052,5,3,3,3,5,7,5,6,3,5,9,6,22,48,18,32,9,5,12,5,3,9,6,9,12,12,22
106,1950-04-17,11.063,3,5,9,6,22,48,18,32,9,5,12,5,3,9,6,9,12,12,22,18,9,6,6,9,9,15,15
107,1950-04-18,15.094,9,5,12,5,3,9,6,9,12,12,22,18,9,6,6,9,9,15,15,12,18,15,12,12,15,22,15
108,1950-04-19,24.126,12,12,22,18,9,6,6,9,9,15,15,12,18,15,12,12,15,22,15,18,27,39,7,22,32,32,18
109,1950-04-20,24.126,9,15,15,12,18,15,12,12,15,22,15,18,27,39,7,22,32,32,18,27,67,27,6,3,5,32,27
110,1950-04-21,4.01,15,22,15,18,27,39,7,22,32,32,18,27,67,27,6,3,5,32,27,6,4,4,5,3,5,2,2
111,1950-04-22,5.021,32,32,18,27,67,27,6,3,5,32,27,6,4,4,5,3,5,2,2,2,2,3,15,7,5,3,4
112,1950-04-23,17.094,5,32,27,6,4,4,5,3,5,2,2,2,2,3,15,7,5,3,4,7,22,12,27,22,15,12,22
113,1950-04-24,33.136,5,2,2,2,2,3,15,7,5,3,4,7,22,12,27,22,15,12,22,39,67,56,22,15,32,12,22
114,1950-04-25,9.052,5,3,4,7,22,12,27,22,15,12,22,39,67,56,22,15,32,12,22,7,22,18,9,5,5,4,3
115,1950-04-26,4.021,15,12,22,39,67,56,22,15,32,12,22,7,22,18,9,5,5,4,3,6,7,6,5,4,3,2,2
116,1950-04-27,5.021,32,12,22,7,22,18,9,5,5,4,3,6,7,6,5,4,3,2,2,2,2,2,3,4,2,15,9
117,1950-04-28,13.073,5,4,3,6,7,6,5,4,3,2,2,2,2,2,3,4,2,15,9,4,5,12,9,12,15,15,32
118,1950-04-29,17.094,3,2,2,2,2,2,3,4,2,15,9,4,5,12,9,12,15,15,32,27,7,4,18,22,27,18,12
119,1950-04-30,33.136,2,15,9,4,5,12,9,12,15,15,32,27,7,4,18,22,27,18,12,27,56,32,22,32,48,32,18
120,1950-05-01,6.031,15,15,32,27,7,4,18,22,27,18,12,27,56,32,22,32,48,32,18,7,4,5,6,5,6,12,7
